algo,dataset,architecture,latent_dim,kl_weight,hidden_dims,conv_filters,hidden_activation,latent_activation,output_activation,optimizer,learning_rate,batch_size,epochs,seed,status,k,code_floats,ratio_vs_uint8,train_mse,test_mse,inertia,train_seconds,kl_final,total_loss_final,latent_std_mean,saved_as,n_components,center,explained_variance_kept
vae,quickdraw,dense,2,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,20,42,ok,2,2,98.0,0.06944961845874786,0.0710324860430603,560057.2799658775,12.19,3.4192111492156982,0.0740930363535881,1.1127216815948486,vae_quickdraw_z2_dense_kl0.001_e20_n10286,,,
vae,quickdraw,dense,10,0.0,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,15,42,ok,10,10,19.6,0.05461694672703743,0.05660218666640095,440443.2926028967,10.24,303.6275634765625,0.05503739416599274,4.16467068195343,vae_quickdraw_z10_dense_kl0_e15_n10286,,,
vae,quickdraw,dense,16,0.01,128-32,32-64,elu,linear,sigmoid,adam,0.001,256,15,42,ok,16,16,12.25,0.08234470337629318,0.08337939290641061,664046.1332399845,10.83,0.29831594228744507,0.08848045021295547,0.11063997924793512,vae_quickdraw_z16_dense_kl0.01_e15_n10286,,,
vae,quickdraw,dense,32,0.0001,512-128-32,32-64,relu,linear,sigmoid,adam,0.001,256,20,42,ok,32,32,6.125,0.044552601873874664,0.047340434692019775,359282.16129374504,18.99,43.76002502441406,0.05100872367620468,0.9344578795135021,vae_quickdraw_z32_dense_kl0.0001_e20_n10286,,,
vae,quickdraw,dense,8,1.0,128-32,32-64,relu,tanh,sigmoid,adam,0.001,256,20,42,ok,8,8,24.5,0.0909094586968422,0.0917360094926506,733114.2386500835,12.56,9.092320851777913e-08,0.08939008414745331,0.00010598944390949327,vae_quickdraw_z8_dense_kl1_e20_n10286,,,
vae,quickdraw,conv,16,0.001,128-32,64-128,relu,linear,sigmoid,adam,0.001,256,15,42,ok,16,16,12.25,0.040140219032764435,0.042286272199235336,323699.71768927574,31.18,14.175980567932129,0.06151404604315758,0.8948695063591003,vae_quickdraw_z16_conv_kl0.001_e15_n10286,,,
vae,quickdraw,conv,4,0.01,128-32,16-32,relu,linear,sigmoid,adam,0.001,256,15,42,ok,4,4,49.0,0.08057735860347748,0.08169596394987527,649793.8691067696,13.59,0.41320478916168213,0.08821972459554672,0.21460505621507764,vae_quickdraw_z4_conv_kl0.01_e15_n10286,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,sgd,0.01,256,25,42,ok,10,10,19.6,0.2141108512878418,0.21375205465710834,1726637.8656158447,12.22,1.2557016611099243,0.2148522585630417,0.24546776860952377,vae_quickdraw_z10_dense_kl0.001_e25_n10286,,,
vae,quickdraw,dense,20,0.001,128-32,32-64,tanh,linear,sigmoid,rmsprop,0.001,128,15,42,ok,20,20,9.8,0.08909465372562408,0.09016272066049169,718479.2448458672,12.74,1.5214627981185913,0.09098153561353683,0.06102625876665115,vae_quickdraw_z20_dense_kl0.001_e15_n10286,,,
vae,quickdraw,dense,24,0.01,256-64,32-64,leaky_relu,linear,sigmoid,adam,0.0001,512,20,42,ok,24,24,8.166666666666666,0.15602019429206848,0.15629265153474028,1258181.7952947617,10.47,0.04966764152050018,0.091549813747406,0.04839757131412625,vae_quickdraw_z24_dense_kl0.01_e20_n10286,,,
pca,quickdraw,,,,,,,,,,,,,,ok,5,5,39.2,0.06614019573682065,0.0674436250724089,533369.3538255667,0.95,,,,pca_quickdraw_pca5_feature_n10286,5,feature,0.25215651567163544
pca,quickdraw,,,,,,,,,,,,,,ok,20,20,9.8,0.047876549680190394,0.0491265928200107,386087.2209681837,0.79,,,,pca_quickdraw_pca20_feature_n10286,20,feature,0.45005942722271486
pca,quickdraw,,,,,,,,,,,,,,ok,50,50,3.92,0.031015221110746574,0.032342685551919506,250113.69044658917,0.82,,,,pca_quickdraw_pca50_feature_n10286,50,feature,0.6340010160273132
pca,quickdraw,,,,,,,,,,,,,,ok,100,100,1.96,0.01739205433516891,0.018519812347164193,140253.42197897317,0.87,,,,pca_quickdraw_pca100_feature_n10286,100,feature,0.7855076228711751
pca,quickdraw,,,,,,,,,,,,,,ok,200,200,0.98,0.006286295727359616,0.0069116585920502675,50694.096875670875,0.86,,,,pca_quickdraw_pca200_feature_n10286,200,feature,0.9161984371540677
pca,quickdraw,,,,,,,,,,,,,,ok,50,50,3.92,0.03134497118121554,0.03265942261579642,252772.86887886672,0.85,,,,pca_quickdraw_pca50_global_n10286,50,global,0.6950974637117849
